School,Address,Latitude,Longitude,4-Year Graduation Rate - All Students,6-Year Graduation Rate - All Students,Average Regents Score - Algebra I,Average Regents Score - Algebra II,Average Regents Score - Chemistry,Average Regents Score - Earth Science,Average Regents Score - English,Average Regents Score - Geometry,Average Regents Score - Global History,Average Regents Score - Languages Other Than English,Average Regents Score - Living Environment,Average Regents Score - Physics,Average Regents Score - US History,Average score of students in the current cohort who took the SAT Math exam,Average score of students in the current cohort who took the SAT Reading and Writing exam,Average Student Attendance,College and Career Preparatory Course Index,Postsecondary Enrollment Rate - 18 Months,Postsecondary Enrollment Rate - 6 Months
47 The American Sign Language and English Secondary School,"223 East 23rd Street, Manhattan NY 10010",40.738374,-73.981329,0.984,0.935,61.5,51.5,0,66.2,72.1,0,68.1,59.3,61.5,39.3,69.3,397,434,0.815,0.968,0.806,0.785
A. Philip Randolph Campus High School,"443 West 135th Street, Manhattan NY 10031",40.8185,-73.949929,0.775,0.878,67.4,61.6,60.7,0,69.8,59.1,71,81.8,63.8,42.8,65.4,425,437,0.824,0.493,0.644,0.581
Abraham Lincoln High School,"2800 Ocean Parkway, Brooklyn NY 11235",40.582627,-73.968733,0.89,0.905,62.8,70.6,56.1,55.7,72.6,54.3,66.8,74.7,61.5,0,67,413,427,0.802,0.606,0.683,0.651
Academy for Careers in Television and Film,"1-50 51st Avenue, Long Island City NY 11101",40.742964,-73.959183,0.984,1,65.6,60.7,54.9,67.1,68.8,54.4,75.9,0,68.4,0,66.4,453,483,0.893,0.953,0.869,0.794
Academy for College Preparation and Career Exploration: A College Board School,"911 Flatbush Avenue, Brooklyn NY 11226",40.649602,-73.957173,0.863,0.883,65.5,0,0,0,66.2,47.9,58.2,0,58.9,0,0,396,415,0.905,0.353,0.5,0.324
Academy for Conservation and the Environment,"6565 Flatlands Avenue, Brooklyn NY 11236",40.634451,-73.916927,0.955,0.97,58.8,47.3,51.3,61.2,69.2,50.7,63.6,67.6,58.7,0,60.5,394,412,0.929,0.818,0.652,0.571
Academy for Excellence in Leadership,"400 Irving Avenue, Brooklyn NY 11237",40.696457,-73.911751,0.93,0.844,62,48.1,0,49.3,52.5,0,59.9,0,60.1,0,54,377,389,0.893,0.303,0.328,0.233
Academy for Health Careers,"150 Albany Avenue, Brooklyn NY 11213",40.675905,-73.939282,0.833,0.909,53.5,38.9,41.8,0,60.3,44.5,63.2,0,58.2,0,67,401,424,0.811,0.424,0.564,0.731
Academy for Language and Technology,"1700 Macombs Road, Bronx NY 10453",40.849416,-73.915217,0.975,1,71.5,0,0,0,69.2,48,73.2,87.9,71,0,71.1,379,385,0.893,0.981,0.615,0.57
Academy for Scholarship and Entrepreneurship: A College Board School,"921 East 228th Street, Bronx NY 10466",40.888242,-73.852714,0.812,0.807,56.4,49.7,0,52.9,66.7,51.9,62.5,0,63.3,0,57.7,386,420,0.902,0.803,0.477,0.559
Academy for Software Engineering,"40 Irving Place, Manhattan NY 10003",40.735361,-73.987064,0.929,0.945,62.3,0,0,62.9,71.8,49.6,67.9,0,62.1,0,60.1,469,478,0.816,0.414,0.734,0.776
